announce,issuer,tenor,dy_bp,pred_bp,abn_bp,dur_w
2024-08-07,Meta,5,10.14999999999997,4.427416832801045,5.722583167198925,4456247463.38138
2024-08-07,Meta,7,11.120000000000019,3.9753985268078047,7.144601473192214,5937600745.992126
2024-08-07,Meta,10,11.519999999999975,3.459745478290324,8.06025452170965,19718530907.209496
2024-08-07,Meta,30,10.899999999999999,1.5241367473093383,9.37586325269066,92018728779.9104
2025-09-24,Oracle,5,8.49000000000002,9.945007171072868,-1.4550071710728485,13316628930.64448
2025-09-24,Oracle,7,6.919999999999993,9.100127992705731,-2.1801279927057386,17658449141.605854
2025-09-24,Oracle,10,4.9600000000000755,8.086717400211512,-3.1267174002114366,30885820701.22072
2025-09-24,Oracle,20,1.9899999999999807,6.046778556460897,-4.056778556460916,29187621723.92016
2025-09-24,Oracle,30,0.24999999999995026,3.85536784579331,-3.6053678457933596,78515751992.59268
2025-11-03,Alphabet,3,-1.629999999999976,-1.929941110142441,0.29994111014246516,2806632371.612898
2025-11-03,Alphabet,5,-1.4900000000000357,-1.9462345830024559,0.45623458300242015,11198914314.860992
2025-11-03,Alphabet,7,-1.4100000000000001,-1.9151885632016046,0.5051885632016044,7467509398.137015
2025-11-03,Alphabet,10,-1.0699999999999932,-1.8288411727339065,0.7588411727339133,27671598696.967884
2025-11-03,Alphabet,20,0.2600000000000158,-1.47768494130807,1.7376849413080857,24378854429.458595
2025-11-03,Alphabet,30,0.49000000000001265,-1.0714282018569654,1.561428201856978,104110944516.48175
2025-11-17,Amazon,3,-4.300000000000015,-3.794697048990316,-0.5053029510096989,7013618627.548975
2025-11-17,Amazon,5,-4.0000000000000036,-3.658356738065921,-0.34164326193408234,11198914314.860992
2025-11-17,Amazon,8,-3.0100000000000016,-3.3436962627930953,0.3336962627930937,10043520665.20811
2025-11-17,Amazon,10,-2.430000000000021,-3.1520706309400826,0.7220706309400615,27737480810.608757
2025-11-17,Amazon,30,0.47999999999994714,-1.600095903221665,2.080095903221612,76079171292.33356
2026-02-02,Oracle,3,3.9099999999999913,4.7685153938209,-0.8585153938209089,8324722051.4939
2026-02-02,Oracle,5,3.0700000000000394,4.427416832801045,-1.3574168328010057,15335916615.648035
2026-02-02,Oracle,7,2.859999999999996,3.9753985268078047,-1.1153985268078088,17325676040.02424
2026-02-02,Oracle,10,2.9799999999999827,3.459745478290324,-0.4797454782903414,37714782244.88145
2026-02-02,Oracle,20,2.9000000000000803,2.515563426065101,0.3844365739349791,24885873614.928253
2026-02-02,Oracle,30,1.6099999999999781,1.5241367473093383,0.08586325269063977,101724964391.80223
2026-02-09,Alphabet,3,-4.869999999999974,-4.8988857364100395,0.0288857364100652,7037370953.694312
2026-02-09,Alphabet,5,-5.579999999999963,-4.895641688679043,-0.6843583113209197,13438697177.83319
2026-02-09,Alphabet,7,-6.009999999999982,-4.742345156764907,-1.267654843235075,17906360017.014587
2026-02-09,Alphabet,10,-6.440000000000001,-4.470968907345815,-1.9690310926541859,33442052227.271133
2026-02-09,Alphabet,20,-7.289999999999974,-3.622800360771646,-3.667199639228328,18058575795.03593
2026-02-09,Alphabet,30,-7.68999999999993,-2.6096577482939027,-5.0803422517060275,84772016629.68958
2026-07-07,Amazon,3,8.539999999999992,7.737460020088531,0.8025399799114608,9704027580.372114
2026-07-07,Amazon,5,9.619999999999962,7.376823938477654,2.243176061522308,18694607350.22291
2026-07-07,Amazon,7,9.919999999999973,6.802555120371118,3.117444879628855,17475789787.756252
2026-07-07,Amazon,10,9.590000000000032,6.101873212902232,3.4881267870977997,34583697845.14642
2026-07-07,Amazon,20,7.460000000000022,4.660678845528664,2.7993211544713583,31782811464.53385
2026-07-07,Amazon,30,7.560000000000056,3.0623662937462544,4.497633706253801,87692822104.71393
