,cusip,issueDate,securityType,securityTerm,maturityDate,interestRate,refCpiOnIssueDate,refCpiOnDatedDate,announcementDate,auctionDate,auctionDateYear,datedDate,accruedInterestPer1000,accruedInterestPer100,adjustedAccruedInterestPer1000,adjustedPrice,allocationPercentage,allocationPercentageDecimals,announcedCusip,auctionFormat,averageMedianDiscountRate,averageMedianInvestmentRate,averageMedianPrice,averageMedianDiscountMargin,averageMedianYield,backDated,backDatedDate,bidToCoverRatio,callDate,callable,calledDate,cashManagementBillCMB,closingTimeCompetitive,closingTimeNoncompetitive,competitiveAccepted,competitiveBidDecimals,competitiveTendered,competitiveTendersAccepted,corpusCusip,cpiBaseReferencePeriod,currentlyOutstanding,directBidderAccepted,directBidderTendered,estimatedAmountOfPubliclyHeldMaturingSecuritiesByType,fimaIncluded,fimaNoncompetitiveAccepted,fimaNoncompetitiveTendered,firstInterestPeriod,firstInterestPaymentDate,floatingRate,frnIndexDeterminationDate,frnIndexDeterminationRate,highDiscountRate,highInvestmentRate,highPrice,highDiscountMargin,highYield,indexRatioOnIssueDate,indirectBidderAccepted,indirectBidderTendered,interestPaymentFrequency,lowDiscountRate,lowInvestmentRate,lowPrice,lowDiscountMargin,lowYield,maturingDate,maximumCompetitiveAward,maximumNoncompetitiveAward,maximumSingleBid,minimumBidAmount,minimumStripAmount,minimumToIssue,multiplesToBid,multiplesToIssue,nlpExclusionAmount,nlpReportingThreshold,noncompetitiveAccepted,noncompetitiveTendersAccepted,offeringAmount,originalCusip,originalDatedDate,originalIssueDate,originalSecurityTerm,pdfFilenameAnnouncement,pdfFilenameCompetitiveResults,pdfFilenameNoncompetitiveResults,pdfFilenameSpecialAnnouncement,pricePer100,primaryDealerAccepted,primaryDealerTendered,reopening,securityTermDayMonth,securityTermWeekYear,series,somaAccepted,somaHoldings,somaIncluded,somaTendered,spread,standardInterestPaymentPer1000,strippable,term,tiinConversionFactorPer1000,tips,totalAccepted,totalTendered,treasuryRetailAccepted,treasuryRetailTendersAccepted,type,unadjustedAccruedInterestPer1000,unadjustedPrice,updatedTimestamp,xmlFilenameAnnouncement,xmlFilenameCompetitiveResults,xmlFilenameSpecialAnnouncement,tintCusip1,tintCusip2,tintCusip1DueDate,tintCusip2DueDate
0,91282CRE3,2026-09-30T00:00:00,Note,9-Year 10-Month,2036-07-15T00:00:00,2.375000,333.919130,333.969740,2026-09-10T00:00:00,2026-09-17,2026,2026-07-15T00:00:00,,,4.9686800000,97.5981420000,93.14,2,,Single-Price,,,,,2.577000,Yes,2026-07-15T00:00:00,2.24,,No,,No,01:00 PM,12:00 PM,18883984000,3,42369960000,Yes,912821UU7,1982-1984=100,23321000000.000000,5419000000,6875000000,143580000000,Yes,0,0,Normal,2027-01-15T00:00:00,No,,,,,97.598142,,2.6530,0.999850,11164960000,12188960000,Semi-Annual,,,,,2.529000,2026-09-30T00:00:00,6650000000,10000000,6650000000,100,100,100,100,100,7400000000,6650000000,116022000,Yes,19000000000,,2026-07-15T00:00:00,2026-07-31T00:00:00,10-Year,A_20260910_1.pdf,R_20260917_3.pdf,NCR_20260917_3.pdf,,97.598142,2300024000,23306000000,Yes,10-Month,9-Year,D-2036,2860448000,30411000000,No,2860448000,,,Yes,10-Year,3.5557113650,Yes,21860454000,45346430000,20751000,Yes,TIPS,4.969430,97.612784,2026-09-17T13:03:18,A_20260910_1.xml,R_20260917_3.xml,,,,,
1,912797VM6,2026-09-22T00:00:00,Bill,4-Week,2026-10-20T00:00:00,,,,2026-09-15T00:00:00,2026-09-17,2026,,,,,,69.59,2,,Single-Price,3.780000,,,,,,,3.02,,,,No,11:30 AM,11:00 AM,82370750000,3,264170988000,Yes,,,179657000000.000000,2517540000,10300000000,273720000000,Yes,2000000000,2000000000,,,No,,,3.820000,3.885000,99.702889,,,,57591610000,75222988000,None,3.700000,,,,,2026-09-22T00:00:00,31500000000,10000000,31500000000,100,,100,100,100,58800000000,31500000000,5629910800,Yes,90000000000,,,2026-06-23T00:00:00,17-Week,A_20260915_1.pdf,R_20260917_1.pdf,NCR_20260917_2.pdf,,99.702889,22261600000,178648000000,Yes,28-Day,4-Week,,7647249400,20987000000,No,7647249400,,,,4-Week,,No,97647910200,279448148200,4499313500,Yes,Bill,,,2026-09-17T11:33:30,A_20260915_1.xml,R_20260917_1.xml,,,,,
2,912797VX2,2026-09-22T00:00:00,Bill,8-Week,2026-11-17T00:00:00,,,,2026-09-15T00:00:00,2026-09-17,2026,,,,,,2.93,2,,Single-Price,3.890000,,,,,,,2.94,,,,No,11:30 AM,11:00 AM,82230035000,3,247002990000,Yes,,,76223000000.000000,3952930000,10450000000,273720000000,Yes,1400000000,1400000000,,,No,,,3.920000,3.999000,99.390222,,,,51331190000,64113990000,None,3.790000,,,,,2026-09-22T00:00:00,29750000000,10000000,29750000000,100,,100,100,100,24800000000,29750000000,1370009700,Yes,85000000000,,,2026-07-21T00:00:00,17-Week,A_20260915_3.pdf,R_20260917_2.pdf,NCR_20260917_1.pdf,,99.390222,26945915000,172439000000,Yes,56-Day,8-Week,,7222402100,20987000000,No,7222402100,,,,8-Week,,No,92222446800,256995401800,887775500,Yes,Bill,,,2026-09-17T11:33:31,A_20260915_3.xml,R_20260917_2.xml,,,,,
3,912797WQ6,2026-09-22T00:00:00,Bill,17-Week,2027-01-19T00:00:00,,,,2026-09-15T00:00:00,2026-09-16,2026,,,,,,23.62,2,,Single-Price,4.010000,,,,,,,2.72,,,,No,11:30 AM,11:00 AM,71447045000,3,195221110000,Yes,,,,3785000000,9385000000,273720000000,Yes,0,0,,,No,,,4.030000,4.141000,98.667861,,,,37458865000,45524110000,None,3.920000,,,,,2026-09-22T00:00:00,25200000000,10000000,25200000000,100,,100,100,100,0,25200000000,553112600,Yes,72000000000,,,,17-Week,A_20260915_2.pdf,R_20260916_1.pdf,NCR_20260916_1.pdf,,98.667861,30203180000,140312000000,No,119-Day,17-Week,,6117799400,20987000000,No,6117799400,,,,17-Week,,No,78117957000,201892022000,380405600,Yes,Bill,,,2026-09-16T11:33:24,A_20260915_2.xml,R_20260916_1.xml,,,,,
4,912810UX4,2026-09-18T00:00:00,Bond,19-Year 11-Month,2046-08-15T00:00:00,5.125000,,,2026-09-10T00:00:00,2026-09-15,2026,2026-08-15T00:00:00,4.7350500000,,,,30.14,2,,Single-Price,,,,,5.360000,Yes,2026-08-15T00:00:00,2.57,,No,,No,01:00 PM,12:00 PM,12914903200,3,33298440000,Yes,912803HY2,,18053000000.000000,3962584000,5079500000,0,Yes,0,0,Normal,2027-02-15T00:00:00,No,,,,,96.42384,,5.4200,,6775838200,8915040000,Semi-Annual,,,,,4.880000,2026-09-18T00:00:00,4550000000,10000000,4550000000,100,100,100,100,100,5600000000,4550000000,85105400,Yes,13000000000,,2026-08-15T00:00:00,2026-08-31T00:00:00,20-Year,A_20260910_4.pdf,R_20260915_2.pdf,NCR_20260915_2.pdf,,96.42384,2176481000,19303900000,Yes,11-Month,19-Year,Bonds of August 2046,0,0,No,0,,25.6250,Yes,20-Year,,No,13000008600,33383545400,38754400,Yes,Bond,,,2026-09-15T13:03:35,A_20260910_4.xml,R_20260915_2.xml,,,,,
5,912797SK4,2026-09-17T00:00:00,Bill,6-Week,2026-10-29T00:00:00,,,,2026-09-10T00:00:00,2026-09-15,2026,,,,,,35.19,2,,Single-Price,3.820000,,,,,,,3.16,,,,No,11:30 AM,11:00 AM,71719748500,3,234082361000,Yes,,,233607000000.000000,2232785000,9130000000,260196000000,Yes,2000000000,2000000000,,,No,,,3.850000,3.921000,99.550833,,,,49329998500,75382361000,None,3.600000,,,,,2026-09-17T00:00:00,26250000000,10000000,26250000000,100,,100,100,100,74000000000,26250000000,1280853800,Yes,75000000000,,,2025-10-30T00:00:00,52-Week,A_20260910_3.pdf,R_20260915_1.pdf,NCR_20260915_1.pdf,,99.550833,20156965000,149570000000,Yes,42-Day,6-Week,,6696051600,21963000000,No,6696051600,,,,6-Week,,No,81696653900,244059266400,754614800,Yes,Bill,,,2026-09-15T11:33:24,A_20260910_3.xml,R_20260915_1.xml,,,,,
6,912797VH7,2026-09-17T00:00:00,Bill,13-Week,2026-12-17T00:00:00,,,,2026-09-10T00:00:00,2026-09-14,2026,,,,,,13.86,2,,Single-Price,3.925000,,,,,,,2.64,,,,No,11:30 AM,11:00 AM,89869688900,3,240736314900,Yes,,,83445000000.000000,6098600000,12585000000,260196000000,Yes,300000000,300000000,,,No,,,3.970000,4.066000,98.996472,,,,49545728900,62559314900,None,3.840000,,,,,2026-09-17T00:00:00,32200000000,10000000,32200000000,100,,100,100,100,27000000000,32200000000,1830839900,Yes,92000000000,,,2026-06-18T00:00:00,26-Week,A_20260910_5.pdf,R_20260914_2.pdf,NCR_20260914_2.pdf,,98.996472,34225360000,165592000000,Yes,91-Day,13-Week,,8213823300,21963000000,No,8213823300,,,,13-Week,,No,100214352100,251080978100,990117800,Yes,Bill,,,2026-09-14T11:33:36,A_20260910_5.xml,R_20260914_2.xml,,,,,
7,912797UD7,2026-09-17T00:00:00,Bill,26-Week,2027-03-18T00:00:00,,,,2026-09-10T00:00:00,2026-09-14,2026,,,,,,82.5,2,,Single-Price,4.020000,,,,,,,2.74,,,,No,11:30 AM,11:00 AM,77087100000,3,214891475000,Yes,,,54007000000.000000,4745375000,11751000000,260196000000,Yes,100000000,100000000,,,No,,,4.060000,4.203000,97.947444,,,,46835225000,59961475000,None,3.945000,,,,,2026-09-17T00:00:00,27650000000,10000000,27650000000,100,,100,100,100,16700000000,27650000000,1812911100,Yes,79000000000,,,2026-03-19T00:00:00,52-Week,A_20260910_2.pdf,R_20260914_1.pdf,NCR_20260914_1.pdf,,97.947444,25506500000,143179000000,Yes,182-Day,26-Week,,7053174300,21963000000,No,7053174300,,,,26-Week,,No,86053185400,223857560400,834350200,Yes,Bill,,,2026-09-14T11:33:37,A_20260910_2.xml,R_20260914_1.xml,,,,,
8,912797VL8,2026-09-15T00:00:00,Bill,4-Week,2026-10-13T00:00:00,,,,2026-09-08T00:00:00,2026-09-10,2026,,,,,,34.21,2,,Single-Price,3.700000,,,,,,,2.81,,,,No,11:30 AM,11:00 AM,82331395000,3,245269315000,Yes,,,181050000000.000000,3225000000,10275000000,276542000000,Yes,2000000000,2000000000,,,No,,,3.775000,3.839000,99.706389,,,,59097985000,73284315000,None,3.600000,,,,,2026-09-15T00:00:00,31500000000,10000000,31500000000,100,,100,100,100,57300000000,31500000000,5668899100,Yes,90000000000,,,2026-06-16T00:00:00,17-Week,A_20260908_3.pdf,R_20260910_2.pdf,NCR_20260910_1.pdf,,99.706389,20008410000,161710000000,Yes,28-Day,4-Week,,7059428300,19374000000,No,7059428300,,,,4-Week,,No,97059722400,259997642400,4471274400,Yes,Bill,,,2026-09-10T11:33:20,A_20260908_3.xml,R_20260910_2.xml,,,,,
9,912797VW4,2026-09-15T00:00:00,Bill,8-Week,2026-11-10T00:00:00,,,,2026-09-08T00:00:00,2026-09-10,2026,,,,,,71.44,2,,Single-Price,3.805000,,,,,,,2.82,,,,No,11:30 AM,11:00 AM,82421110000,3,237376430000,Yes,,,76456000000.000000,4937200000,11455000000,276542000000,Yes,1300000000,1300000000,,,No,,,3.845000,3.922000,99.401889,,,,54641630000,70994430000,None,3.700000,,,,,2026-09-15T00:00:00,29750000000,10000000,29750000000,100,,100,100,100,24800000000,29750000000,1279464300,Yes,85000000000,,,2026-07-14T00:00:00,17-Week,A_20260908_2.pdf,R_20260910_1.pdf,NCR_20260910_2.pdf,,99.401889,22842280000,154927000000,Yes,56-Day,8-Week,,6667237800,19374000000,No,6667237800,,,,8-Week,,No,91667812100,246623132100,830095300,Yes,Bill,,,2026-09-10T11:33:21,A_20260908_2.xml,R_20260910_1.xml,,,,,
