issuer,announce,total_usd,n_tranches,dollar_dur,tenyr_equiv,max_tenor,wavg_tenor,target_tenors,jumbo,macro_conflict,macro_which
Meta,2024-08-07,10500000000.0,5,122131107896.49341,15301091007.65233,40,28.343469396202547,"[5, 7, 10, 30, 40]",True,False,
Oracle,2024-09-25,6250000000.0,4,66597460676.02892,8343605689.273563,40,26.352251905877733,"[5, 10, 30, 40]",False,False,
Oracle,2025-01-30,7750000000.0,6,63918757261.06897,8008006631.500764,40,23.74631904653648,"[3, 7, 10, 30, 40]",False,True,FOMC@2025-01-29
Alphabet,2025-04-28,5000000000.0,4,60691009095.9907,7603620973.544545,40,29.41241263817276,"[5, 10, 30, 40]",False,False,
Oracle,2025-09-24,18000000000.0,6,169564272489.9839,21243714314.08341,40,22.03592476988789,"[5, 7, 10, 20, 30, 40]",True,False,
Meta,2025-10-30,30000000000.0,6,310553420819.5453,38907418728.44377,40,24.037743685662914,"[5, 7, 10, 20, 30, 40]",True,True,FOMC@2025-10-29
Alphabet,2025-11-03,17000000000.0,7,177634453727.51913,22254780042.467915,50,27.647432094048554,"[3, 5, 7, 10, 20, 30, 50]",True,False,
Amazon,2025-11-17,15000000000.0,6,132072705710.5604,16546615555.283852,40,22.996073803924364,"[3, 5, 8, 10, 30, 40]",True,False,
Oracle,2026-02-02,25000000000.0,8,205436934958.7781,25737990036.096848,40,22.02254036378469,"[3, 5, 7, 10, 20, 30, 40]",True,False,
Alphabet,2026-02-09,20000000000.0,7,174655072800.53873,21881510860.722454,40,21.329072798247182,"[3, 5, 7, 10, 20, 30, 40]",True,False,
Amazon,2026-03-10,37000000000.0,11,306638911254.7361,38416992758.08221,50,25.7247460227288,"[2, 3, 5, 7, 10, 20, 30, 40, 50]",True,True,CPI@2026-03-11
Meta,2026-04-30,25000000000.0,6,254280597083.6397,31857326314.884396,40,24.45410998703383,"[5, 7, 10, 20, 30, 40]",True,True,FOMC@2026-04-29
Alphabet,2026-05-05,8500000000.0,4,79493142509.32883,9959230117.279884,30,19.80806733383086,"[5, 7, 10, 30]",False,False,
Amazon,2026-06-08,14000000000.0,5,128505375364.36009,16099685635.284838,30,20.509302019254775,"[3, 5, 7, 10, 30]",True,True,NFP@2026-06-05
Amazon,2026-07-07,25000000000.0,8,200121256132.74548,25072019777.696278,40,20.922578455870877,"[3, 5, 7, 10, 20, 30, 40]",True,False,
Alphabet,2026-08-06,25000000000.0,10,201752968476.6716,25276447457.93875,40,21.998814903013425,"[2, 3, 5, 7, 10, 20, 30, 40]",True,True,NFP@2026-08-07
