issuer,cik,legal_name,form,filing_date,accession,primary_doc,url,idx
Microsoft,0000789019,MICROSOFT CORP,424B3,2024-05-06,0001193125-24-131951,d671682d424b3.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312524131951/d671682d424b3.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312524131951/
Meta,0001326801,"Meta Platforms, Inc.",FWP,2024-08-07,0001193125-24-196020,d881153dfwp.htm,https://www.sec.gov/Archives/edgar/data/1326801/000119312524196020/d881153dfwp.htm,https://www.sec.gov/Archives/edgar/data/1326801/000119312524196020/
Meta,0001326801,"Meta Platforms, Inc.",424B2,2024-08-07,0001193125-24-195428,d874457d424b2.htm,https://www.sec.gov/Archives/edgar/data/1326801/000119312524195428/d874457d424b2.htm,https://www.sec.gov/Archives/edgar/data/1326801/000119312524195428/
Meta,0001326801,"Meta Platforms, Inc.",424B2,2024-08-08,0001193125-24-197096,d874457d424b2.htm,https://www.sec.gov/Archives/edgar/data/1326801/000119312524197096/d874457d424b2.htm,https://www.sec.gov/Archives/edgar/data/1326801/000119312524197096/
Oracle,0001341439,ORACLE CORP,FWP,2024-09-25,0001193125-24-226101,d832142dfwp.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312524226101/d832142dfwp.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312524226101/
Oracle,0001341439,ORACLE CORP,424B2,2024-09-25,0001193125-24-225244,d861128d424b2.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312524225244/d861128d424b2.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312524225244/
Oracle,0001341439,ORACLE CORP,424B2,2024-09-26,0001193125-24-227049,d861128d424b2.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312524227049/d861128d424b2.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312524227049/
Oracle,0001341439,ORACLE CORP,FWP,2025-01-30,0001193125-25-017365,d901407dfwp.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312525017365/d901407dfwp.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312525017365/
Oracle,0001341439,ORACLE CORP,424B2,2025-01-30,0001193125-25-016274,d890482d424b2.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312525016274/d890482d424b2.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312525016274/
Oracle,0001341439,ORACLE CORP,424B2,2025-01-31,0001193125-25-018491,d890482d424b2.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312525018491/d890482d424b2.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312525018491/
Alphabet,0001652044,Alphabet Inc.,FWP,2025-04-28,0001193125-25-100802,d806252dfwp.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312525100802/d806252dfwp.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312525100802/
Alphabet,0001652044,Alphabet Inc.,424B5,2025-04-28,0001193125-25-098380,d910841d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312525098380/d910841d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312525098380/
Alphabet,0001652044,Alphabet Inc.,FWP,2025-04-29,0001193125-25-103574,d946828dfwp.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312525103574/d946828dfwp.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312525103574/
Alphabet,0001652044,Alphabet Inc.,424B5,2025-04-29,0001193125-25-101705,d926856d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312525101705/d926856d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312525101705/
Alphabet,0001652044,Alphabet Inc.,424B2,2025-04-30,0001193125-25-107005,d910841d424b2.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312525107005/d910841d424b2.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312525107005/
Alphabet,0001652044,Alphabet Inc.,424B2,2025-05-01,0001193125-25-110061,d926856d424b2.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312525110061/d926856d424b2.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312525110061/
Oracle,0001341439,ORACLE CORP,FWP,2025-09-24,0001193125-25-215807,d49252dfwp.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312525215807/d49252dfwp.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312525215807/
Oracle,0001341439,ORACLE CORP,424B2,2025-09-24,0001193125-25-214032,d37885d424b2.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312525214032/d37885d424b2.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312525214032/
Oracle,0001341439,ORACLE CORP,424B2,2025-09-25,0001193125-25-217490,d37885d424b2.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312525217490/d37885d424b2.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312525217490/
Meta,0001326801,"Meta Platforms, Inc.",FWP,2025-10-30,0001193125-25-258837,d61769dfwp.htm,https://www.sec.gov/Archives/edgar/data/1326801/000119312525258837/d61769dfwp.htm,https://www.sec.gov/Archives/edgar/data/1326801/000119312525258837/
