issuer,fdate,form,ccy,is_notes,prelim,subj_date,trade_date,is_exchange,is_equity,ntr,tot,ncpn,file
Alphabet,2025-04-28,424B5,,False,True,2025-04-28,,False,False,0,0.0,0,Alphabet_2025-04-28_424B5_0001193125-25-098380.htm
Alphabet,2025-04-28,FWP,,False,False,,2025-04-28,False,False,0,0.0,4,Alphabet_2025-04-28_FWP_0001193125-25-100802.htm
Alphabet,2025-04-29,424B5,,False,True,2025-04-29,,False,False,0,0.0,0,Alphabet_2025-04-29_424B5_0001193125-25-101705.htm
Alphabet,2025-04-29,FWP,,False,False,,2025-04-29,False,False,0,0.0,5,Alphabet_2025-04-29_FWP_0001193125-25-103574.htm
Alphabet,2025-04-30,424B2,USD,True,False,,,False,False,4,5.0,4,Alphabet_2025-04-30_424B2_0001193125-25-107005.htm
Alphabet,2025-05-01,424B2,EUR,True,False,,,False,False,5,6.75,5,Alphabet_2025-05-01_424B2_0001193125-25-110061.htm
Alphabet,2025-11-03,424B5,,False,True,2025-11-03,,False,False,0,0.0,0,Alphabet_2025-11-03_424B5_0001193125-25-261546.htm
Alphabet,2025-11-03,424B5,,False,True,2025-11-03,,False,False,0,0.0,0,Alphabet_2025-11-03_424B5_0001193125-25-261740.htm
Alphabet,2025-11-03,FWP,,False,False,,2025-11-03,False,False,0,0.0,6,Alphabet_2025-11-03_FWP_0001193125-25-262837.htm
Alphabet,2025-11-04,FWP,,False,False,,2025-11-03,False,False,0,0.0,7,Alphabet_2025-11-04_FWP_0001193125-25-263045.htm
Alphabet,2025-11-05,424B2,EUR,True,False,,,False,False,6,6.5,6,Alphabet_2025-11-05_424B2_0001193125-25-267232.htm
Alphabet,2025-11-05,424B2,USD,True,False,,,False,False,7,17.0,7,Alphabet_2025-11-05_424B2_0001193125-25-267244.htm
Alphabet,2026-02-09,424B5,,False,True,2026-02-09,,False,False,0,0.0,0,Alphabet_2026-02-09_424B5_0001193125-26-041936.htm
Alphabet,2026-02-10,424B5,,False,True,2026-02-10,,False,False,0,0.0,0,Alphabet_2026-02-10_424B5_0001193125-26-043583.htm
Alphabet,2026-02-10,FWP,,False,False,,2026-02-09,False,False,0,0.0,7,Alphabet_2026-02-10_FWP_0001193125-26-043127.htm
Alphabet,2026-02-10,FWP,,False,False,,2026-02-10,False,False,0,0.0,5,Alphabet_2026-02-10_FWP_0001193125-26-044473.htm
Alphabet,2026-02-11,424B2,USD,True,False,,,False,False,7,20.0,7,Alphabet_2026-02-11_424B2_0001193125-26-046846.htm
Alphabet,2026-02-12,424B2,GBP,True,False,,,False,False,5,5.5,5,Alphabet_2026-02-12_424B2_0001193125-26-048730.htm
Alphabet,2026-05-05,424B5,,False,True,2026-05-05,,False,False,0,0.0,0,Alphabet_2026-05-05_424B5_0001193125-26-204938.htm
Alphabet,2026-05-05,424B5,,False,True,2026-05-05,,False,False,0,0.0,0,Alphabet_2026-05-05_424B5_0001193125-26-205120.htm
Alphabet,2026-05-05,FWP,,False,False,,2026-05-05,False,False,0,0.0,6,Alphabet_2026-05-05_FWP_0001193125-26-206404.htm
Alphabet,2026-05-05,FWP,,False,False,,2026-05-05,False,False,0,0.0,4,Alphabet_2026-05-05_FWP_0001193125-26-206809.htm
Alphabet,2026-05-07,424B2,EUR,True,False,,,False,False,6,9.0,6,Alphabet_2026-05-07_424B2_0001193125-26-212210.htm
