issuer,filing_date,form,accession,file,prelim,trade_date,n_tranches,total,not_debt,nchars
Alphabet,2025-04-28,424B5,0001193125-25-098380,Alphabet_2025-04-28_424B5_0001193125-25-098380.htm,True,,0,0.0,False,194703
Alphabet,2025-04-28,FWP,0001193125-25-100802,Alphabet_2025-04-28_FWP_0001193125-25-100802.htm,False,2025-04-28,0,0.0,False,8889
Alphabet,2025-04-29,424B5,0001193125-25-101705,Alphabet_2025-04-29_424B5_0001193125-25-101705.htm,True,,0,0.0,False,254752
Alphabet,2025-04-29,FWP,0001193125-25-103574,Alphabet_2025-04-29_FWP_0001193125-25-103574.htm,False,2025-04-29,0,0.0,False,12065
Alphabet,2025-04-30,424B2,0001193125-25-107005,Alphabet_2025-04-30_424B2_0001193125-25-107005.htm,False,,4,5000000000.0,False,198615
Alphabet,2025-05-01,424B2,0001193125-25-110061,Alphabet_2025-05-01_424B2_0001193125-25-110061.htm,False,,5,6750000000.0,False,258009
Alphabet,2025-11-03,424B5,0001193125-25-261546,Alphabet_2025-11-03_424B5_0001193125-25-261546.htm,True,,0,0.0,False,255695
Alphabet,2025-11-03,424B5,0001193125-25-261740,Alphabet_2025-11-03_424B5_0001193125-25-261740.htm,True,,0,0.0,False,235134
Alphabet,2025-11-03,FWP,0001193125-25-262837,Alphabet_2025-11-03_FWP_0001193125-25-262837.htm,False,2025-11-03,0,0.0,False,16479
Alphabet,2025-11-04,FWP,0001193125-25-263045,Alphabet_2025-11-04_FWP_0001193125-25-263045.htm,False,2025-11-03,0,0.0,False,14022
Alphabet,2025-11-05,424B2,0001193125-25-267232,Alphabet_2025-11-05_424B2_0001193125-25-267232.htm,False,,6,6500000000.0,False,261479
Alphabet,2025-11-05,424B2,0001193125-25-267244,Alphabet_2025-11-05_424B2_0001193125-25-267244.htm,False,,7,17000000000.0,False,241888
Alphabet,2026-02-09,424B5,0001193125-26-041936,Alphabet_2026-02-09_424B5_0001193125-26-041936.htm,True,,0,0.0,False,193535
Alphabet,2026-02-10,424B5,0001193125-26-043583,Alphabet_2026-02-10_424B5_0001193125-26-043583.htm,True,,0,0.0,False,249429
Alphabet,2026-02-10,FWP,0001193125-26-043127,Alphabet_2026-02-10_FWP_0001193125-26-043127.htm,False,2026-02-09,0,0.0,False,11953
Alphabet,2026-02-10,FWP,0001193125-26-044473,Alphabet_2026-02-10_FWP_0001193125-26-044473.htm,False,2026-02-10,0,0.0,False,15493
Alphabet,2026-02-11,424B2,0001193125-26-046846,Alphabet_2026-02-11_424B2_0001193125-26-046846.htm,False,,7,20000000000.0,False,200115
Alphabet,2026-02-12,424B2,0001193125-26-048730,Alphabet_2026-02-12_424B2_0001193125-26-048730.htm,False,,5,5500000000.0,False,253310
Alphabet,2026-05-05,424B5,0001193125-26-204938,Alphabet_2026-05-05_424B5_0001193125-26-204938.htm,True,,0,0.0,False,249854
Alphabet,2026-05-05,424B5,0001193125-26-205120,Alphabet_2026-05-05_424B5_0001193125-26-205120.htm,True,,0,0.0,False,237445
Alphabet,2026-05-05,FWP,0001193125-26-206404,Alphabet_2026-05-05_FWP_0001193125-26-206404.htm,False,2026-05-05,0,0.0,False,15279
Alphabet,2026-05-05,FWP,0001193125-26-206809,Alphabet_2026-05-05_FWP_0001193125-26-206809.htm,False,2026-05-05,0,0.0,False,16270
Alphabet,2026-05-07,424B2,0001193125-26-212210,Alphabet_2026-05-07_424B2_0001193125-26-212210.htm,False,,6,9000000000.0,False,255040
Alphabet,2026-05-07,424B2,0001193125-26-212222,Alphabet_2026-05-07_424B2_0001193125-26-212222.htm,False,,4,8500000000.0,False,237611
Alphabet,2026-05-11,424B5,0001193125-26-215570,Alphabet_2026-05-11_424B5_0001193125-26-215570.htm,True,,0,0.0,False,240414
Alphabet,2026-05-15,FWP,0001193125-26-225046,Alphabet_2026-05-15_FWP_0001193125-26-225046.htm,False,2026-05-15,0,0.0,False,10225
Alphabet,2026-05-18,424B5,0001193125-26-228923,Alphabet_2026-05-18_424B5_0001193125-26-228923.htm,False,,0,0.0,False,238391
Alphabet,2026-06-01,FWP,0001193125-26-251733,Alphabet_2026-06-01_FWP_0001193125-26-251733.htm,False,,0,0.0,True,17003
Alphabet,2026-06-02,424B5,0001193125-26-252362,Alphabet_2026-06-02_424B5_0001193125-26-252362.htm,True,,0,0.0,True,251112
Alphabet,2026-06-02,424B5,0001193125-26-252374,Alphabet_2026-06-02_424B5_0001193125-26-252374.htm,True,,0,0.0,True,481845
Alphabet,2026-06-02,424B5,0001193125-26-252392,Alphabet_2026-06-02_424B5_0001193125-26-252392.htm,True,,0,0.0,True,482445
Alphabet,2026-06-02,424B5,0001193125-26-252439,Alphabet_2026-06-02_424B5_0001193125-26-252439.htm,False,,0,0.0,True,175969
Alphabet,2026-06-03,FWP,0001193125-26-254474,Alphabet_2026-06-03_FWP_0001193125-26-254474.htm,False,2026-06-03,0,0.0,True,42438
Alphabet,2026-06-03,FWP,0001193125-26-254490,Alphabet_2026-06-03_FWP_0001193125-26-254490.htm,False,,0,0.0,True,18742
Alphabet,2026-06-04,424B5,0001193125-26-256375,Alphabet_2026-06-04_424B5_0001193125-26-256375.htm,False,,0,0.0,True,253111
Alphabet,2026-06-04,424B5,0001193125-26-257690,Alphabet_2026-06-04_424B5_0001193125-26-257690.htm,False,,0,0.0,True,482048
Alphabet,2026-06-04,424B5,0001193125-26-257702,Alphabet_2026-06-04_424B5_0001193125-26-257702.htm,False,,0,0.0,True,482711
Alphabet,2026-08-06,424B5,0001193125-26-336798,Alphabet_2026-08-06_424B5_0001193125-26-336798.htm,True,,0,0.0,True,237639
Alphabet,2026-08-06,424B5,0001193125-26-336853,Alphabet_2026-08-06_424B5_0001193125-26-336853.htm,False,,0,0.0,False,3779
Alphabet,2026-08-07,424B2,0001193125-26-340264,Alphabet_2026-08-07_424B2_0001193125-26-340264.htm,False,,10,25000000000.0,False,245775
Alphabet,2026-08-07,FWP,0001193125-26-338750,Alphabet_2026-08-07_FWP_0001193125-26-338750.htm,False,2026-08-06,0,0.0,False,15791
Amazon,2025-11-17,424B5,0001104659-25-112970,Amazon_2025-11-17_424B5_0001104659-25-112970.htm,True,2025-11-17,0,0.0,False,164406
Amazon,2025-11-17,FWP,0001104659-25-113283,Amazon_2025-11-17_FWP_0001104659-25-113283.htm,False,2025-11-17,0,0.0,False,8112
Amazon,2025-11-19,424B5,0001104659-25-114098,Amazon_2025-11-19_424B5_0001104659-25-114098.htm,False,,6,15000000000.0,False,169195
Amazon,2026-03-10,424B5,0001104659-26-025560,Amazon_2026-03-10_424B5_0001104659-26-025560.htm,True,2026-03-10,0,0.0,False,217420
Amazon,2026-03-10,FWP,0001104659-26-025948,Amazon_2026-03-10_FWP_0001104659-26-025948.htm,False,2026-03-10,0,0.0,False,12711
Amazon,2026-03-11,424B5,0001104659-26-026082,Amazon_2026-03-11_424B5_0001104659-26-026082.htm,True,2026-03-11,0,0.0,False,255918
Amazon,2026-03-11,FWP,0001104659-26-026393,Amazon_2026-03-11_FWP_0001104659-26-026393.htm,False,2026-03-11,0,0.0,False,19395
Amazon,2026-03-12,424B5,0001104659-26-027125,Amazon_2026-03-12_424B5_0001104659-26-027125.htm,False,,11,37000000000.0,False,226816
Amazon,2026-03-13,424B5,0001104659-26-027669,Amazon_2026-03-13_424B5_0001104659-26-027669.htm,False,,8,14500000000.0,False,262774
Amazon,2026-06-08,424B5,0001104659-26-071190,Amazon_2026-06-08_424B5_0001104659-26-071190.htm,True,2026-06-08,0,0.0,False,212513
Amazon,2026-06-08,FWP,0001104659-26-071456,Amazon_2026-06-08_FWP_0001104659-26-071456.htm,False,2026-06-08,0,0.0,False,14501
Amazon,2026-06-10,424B5,0001104659-26-072332,Amazon_2026-06-10_424B5_0001104659-26-072332.htm,False,,5,14000000000.0,False,215493
Amazon,2026-07-07,424B5,0001104659-26-080950,Amazon_2026-07-07_424B5_0001104659-26-080950.htm,True,2026-07-07,0,0.0,False,208979
Amazon,2026-07-07,FWP,0001104659-26-081334,Amazon_2026-07-07_FWP_0001104659-26-081334.htm,False,2026-07-07,0,0.0,False,11017
Amazon,2026-07-08,424B5,0001104659-26-081786,Amazon_2026-07-08_424B5_0001104659-26-081786.htm,False,,8,25000000000.0,False,216595
Amazon,2026-08-18,424B3,0001104659-26-098339,Amazon_2026-08-18_424B3_0001104659-26-098339.htm,False,,0,0.0,False,1079241
Amazon,2026-09-09,424B5,0001104659-26-106115,Amazon_2026-09-09_424B5_0001104659-26-106115.htm,True,2026-09-09,0,0.0,False,230618
