h,b,se,t,p,n
0,0.08028414151214033,0.023489834295569625,3.417824940863145,0.0006312369360390246,674
1,0.07584408580993698,0.039379385635119765,1.9259844862154696,0.05410631098886473,673
2,0.11326927708568205,0.03544442824373676,3.195686394114635,0.0013949864564275166,672
3,0.06113457474892148,0.05394268157406667,1.1333247247818017,0.257077912439753,671
4,0.036095719552899,0.07175496103825427,0.5030414487111982,0.6149351310304942,670
5,0.011373002037156688,0.06736361195787638,0.16883005092227568,0.86593032039229,669
6,0.0033773065733567163,0.07442242951701043,0.04538022468864415,0.9638042431592213,668
7,-0.03406278363002961,0.08599685050025467,-0.3960933851865742,0.6920361379566711,667
8,0.01881038595465314,0.0888984207178731,0.21159415209803942,0.8324236719862589,666
9,-0.001751176174215066,0.0964912716592777,-0.01814854487977607,0.9855203511033087,665
10,0.013966771800300953,0.10875560282064081,0.12842346911850494,0.8978138592642773,664
11,0.023739682853026956,0.11352729581485267,0.20910991213728106,0.8343624369909591,663
12,0.020225612222328673,0.12621608108291688,0.16024592150854045,0.8726873566269711,662
13,0.03835959951776617,0.13735923979015158,0.27926479191621506,0.7800416237938286,661
14,-0.028946298070042786,0.12355616017466789,-0.2342764458617216,0.8147703706232912,660
15,-0.052568606792758016,0.11936871533690702,-0.4403884773693681,0.6596557689605854,659
16,-0.047013478495074104,0.11598303811343737,-0.40534787896392666,0.685221817231733,658
17,-0.03569434915629619,0.11593488315905613,-0.3078827371337888,0.7581715619400268,657
18,-0.019217058382724125,0.12091257372702272,-0.15893349872867119,0.8737212679579397,656
19,-0.072100290651476,0.1267821302694564,-0.5686944248234167,0.5695635319793287,655
20,-0.05398432513750229,0.13334313204825898,-0.40485268576085726,0.6855857989038634,654
21,-0.05823565865811171,0.13768208543554064,-0.42297193911531944,0.6723157344623474,653
22,-0.05262933711396558,0.13196547884597715,-0.3988113980580607,0.6900321779270497,652
23,-0.019551490767977235,0.1331755183575676,-0.14680994682132759,0.8832820333315461,651
24,-0.019298339386396406,0.14097147827721504,-0.13689534664910696,0.8911135170448489,650
25,-0.027962844652014943,0.1512403936766136,-0.18489005464906336,0.8533152717478001,649
26,-0.024022877543465982,0.1324639598835868,-0.18135406464202028,0.8560896720546434,648
27,-0.015657259082368383,0.16454359237945884,-0.09515569008764993,0.9241911644116415,647
28,0.08970231440786854,0.15250164596708515,0.5882055491206254,0.5563943331754833,646
29,0.11291215895776537,0.19443830233452863,0.580709446657796,0.561436293885702,645
30,0.0841946586803636,0.20150579346274558,0.41782748393251296,0.6760732547877559,644
31,0.010313359652627932,0.20186323628180278,0.0510908268518513,0.9592531455597898,643
32,0.003535013365752543,0.2167581402156861,0.016308561063658383,0.9869882277093192,642
33,0.04111247447834622,0.18935008713627877,0.21712413815134296,0.8281116031227422,641
34,-0.02528958552985139,0.20302742325294043,-0.12456241193754658,0.9008699874963819,640
35,-0.033544117183488514,0.1953212736264461,-0.17173816533493416,0.863643379957769,639
36,-0.04104989588743238,0.17943545259786142,-0.2287724933568765,0.8190457469756782,638
37,-0.07664296902077662,0.19306711951496677,-0.39697577305407084,0.6913853261596049,637
38,-0.0515771929947612,0.20013483862018494,-0.2577122171749626,0.7966290165847106,636
39,-0.055760803244692986,0.20128502899836184,-0.27702409623890506,0.7817616038170214,635
40,-0.052177373050059414,0.21699074898718898,-0.24045897483463657,0.8099744636696018,634
41,-0.0811338826798272,0.2210587669970089,-0.3670240442484916,0.7136010829784178,633
42,0.015002933783300969,0.23490745762544507,0.06386742223919867,0.9490757925860593,632
43,-0.051945367979183504,0.21248664482184076,-0.24446415454833434,0.8068713604017208,631
44,-0.016099314866630805,0.21982807481251185,-0.07323593622134787,0.9416183701865195,630
45,-0.03920579837214001,0.19343897141152072,-0.20267786830159404,0.8393868226859608,629
46,0.03275031774900967,0.1897857492391889,0.17256468349335394,0.8629936138586949,628
47,0.011769373485823593,0.16757974160664743,0.07023148128160578,0.9440094177423186,627
48,0.059937749227977,0.1634790106879367,0.3666388056531093,0.7138884582319851,626
49,0.09296463510179909,0.16157065119260194,0.5753807044509566,0.5650338509845874,625
50,0.08310057596932965,0.1744506353825008,0.4763558228786222,0.6338209019353278,624
51,0.1174457564885496,0.17892776953849604,0.6563864110723256,0.5115755315631281,623
52,0.15065374074018528,0.17729370660778632,0.8497410518550743,0.3954690694301324,622
53,0.1425106511855619,0.2172616717070702,0.6559401392147359,0.5118626405340427,621
54,0.1277326740429593,0.21453974722109556,0.5953799969351293,0.5515894933365373,620
55,0.10800306714446911,0.20423033723981326,0.5288296959410528,0.5969235955833219,619
56,0.08767101457215232,0.20768099397452636,0.4221426953633794,0.6729208657409091,618
57,0.048409964133421565,0.20098151247810608,0.24086774717000453,0.809657620291006,617
58,0.0741216193259033,0.21223836204497762,0.34923761478236165,0.7269109293227087,616
59,0.04802642387344587,0.22238998271328075,0.21595587754222084,0.8290221406081023,615
60,0.07440081009071718,0.23589118145836788,0.3154031008312538,0.7524556127778957,614
