h,b,se,t,p,n
0,0.07532108819407687,0.023842664899890443,3.159088487395676,0.0015826342999370887,674
1,0.07925594126683447,0.038947288148191,2.0349540374999306,0.04185549794524137,673
2,0.12148346128766611,0.03525375314230765,3.4459724273122885,0.0005690084136181712,672
3,0.0659823438563058,0.05418668099122173,1.2176856498554502,0.22334345233373853,671
4,0.05139022676672294,0.07056263583698617,0.7282923342807751,0.466434653876586,670
5,0.015664045422936163,0.06764901792879495,0.23154874826747085,0.8168885185693463,669
6,0.0023895765695055166,0.07634820171084455,0.03129840017130488,0.975031566262747,668
7,-0.029216420697450507,0.08813437671206227,-0.3314985796393779,0.740267913679029,667
8,-0.006160175087810908,0.09284641409645376,-0.06634801298207804,0.9471007585746093,666
9,-0.030727075450359742,0.10048163595049299,-0.30579792177646153,0.7597585109054064,665
10,-0.016074323252063427,0.11459166099384804,-0.1402748080676341,0.8884428677566119,664
11,-0.0007475136470176669,0.11652824560435458,-0.006414870859342388,0.9948817086852432,663
12,-0.014149660898777009,0.13267930303288653,-0.10664557753419768,0.9150701590984007,662
13,0.027203410983643796,0.14427789927010518,0.1885487044187954,0.8504465394913593,661
14,-0.03580176557422808,0.13040271844384352,-0.2745476934949459,0.7836637569683186,660
15,-0.07103513926103816,0.12852878706479998,-0.5526788269247774,0.5804833541945146,659
16,-0.06576507517169075,0.12518245096419647,-0.5253537909279334,0.5993372701707038,658
17,-0.06673530433117769,0.1251680686800292,-0.5331655671845118,0.593918974659787,657
18,-0.04273251498168891,0.13076303192158414,-0.3267935467213295,0.7438240406703249,656
19,-0.09420901187880476,0.13759085605836704,-0.684704017241092,0.4935307135360366,655
20,-0.06407898429474884,0.1435787125793122,-0.4462986409587139,0.6553815378313348,654
21,-0.06796181450290162,0.14818881021586996,-0.4586163719372611,0.6465096776587593,653
22,-0.06824530119930944,0.14276184504020448,-0.4780359989049613,0.6326245831614721,652
23,-0.04127577899785152,0.14507262476512475,-0.28451804097897704,0.7760134103728193,651
24,-0.044191056526705,0.1518771222337222,-0.2909658536899311,0.7710774349713083,650
25,-0.05075131654922731,0.16144746425533865,-0.31435189634791116,0.7532537867621089,649
26,-0.03597491678507062,0.142729782732707,-0.2520491245505613,0.8010030933075729,648
27,-0.025780498148134705,0.17358240756990426,-0.14852022453803396,0.881932226082017,647
28,0.08172197972722448,0.1597006798109014,0.5117196734790982,0.6088472152410696,646
29,0.10009435407692602,0.1999017518016556,0.5007177434655029,0.6165697829933035,645
30,0.08776189043932708,0.2055744930152254,0.4269104067926715,0.669444585310998,644
31,0.03179306512883794,0.20373728837525631,0.15604931911275588,0.8759941463333197,643
32,0.022789616982379753,0.21822445934433432,0.10443200111872075,0.9168265282963218,642
33,0.04610544469791604,0.1869225139384428,0.2466553853063385,0.8051749372009809,641
34,-0.004389780792239825,0.19332483641417628,-0.022706760671118445,0.9818841829914684,640
35,-0.015674943752613982,0.19031395633250853,-0.08236360619411107,0.9343575757369532,639
36,-0.031705060962671686,0.17663996045308,-0.17948974219281114,0.8575531710851605,638
37,-0.06097395371510671,0.1852205294572533,-0.32919651992021093,0.7420071531831326,637
38,-0.04015971469669334,0.19375187143273348,-0.20727394476102357,0.8357959213518954,636
39,-0.05077392309838312,0.19773718275046606,-0.256774787584878,0.797352634241488,635
40,-0.04301595730468161,0.21544312595211754,-0.19966270501590266,0.8417443834931053,634
41,-0.057037352869542715,0.21776335546424913,-0.26192355801987405,0.7933803768083836,633
42,0.034364158547386336,0.2355116505722262,0.1459127752868753,0.8839902463100693,632
43,-0.02613944291214324,0.21185551110059375,-0.12338335111675074,0.9018035402178751,631
44,0.017121701811258203,0.21875578748431262,0.07826856609444462,0.9376144213575229,630
45,0.00012005476557682554,0.18766165245435357,0.0006397405330640335,0.9994895609405662,629
46,0.049594051615497035,0.19027236777060672,0.2606476820390855,0.7943642153127293,628
47,-0.0017159097047315074,0.1718161576841126,-0.009986893711627759,0.9920317441537112,627
48,0.06026388755907204,0.16253587272557637,0.37077284262546073,0.7108067303374824,626
49,0.08113636368965464,0.16256992394385314,0.499085942352269,0.6177188404691212,625
50,0.07511748391607899,0.17693977541273442,0.42453701402557986,0.6711742171830406,624
51,0.09793533516766464,0.18363733095939058,0.5333084218552598,0.5938200987501813,623
52,0.12499883061471144,0.18368508643515996,0.6805061479982235,0.4961840303340074,622
53,0.10633662953825906,0.22660172622075705,0.4692666349534564,0.6388790609615258,621
54,0.07390278246526036,0.22687700032758265,0.325739419855489,0.7446215167059672,620
55,0.038740878379299515,0.21611666219027112,0.17925910009285487,0.8577342600106977,619
56,0.03212785528551755,0.2188369349802203,0.1468118500582246,0.8832805310454769,618
57,0.006914113525492408,0.21087596882466475,0.03278758392446902,0.973843979483449,617
58,0.009194400085195176,0.22674843220110366,0.040548902569878156,0.967655520463098,616
59,-0.01021506474333872,0.23641537917395666,-0.04320812283460789,0.9655356300517732,615
60,0.0037597049452284606,0.24951825197288685,0.015067855419398328,0.9879780457094588,614
