dep,shock,h,b,t
otr10,AI issuance,0,0.004045080077527941,0.7650322122299834
otr10,AI issuance,1,-0.012538235325745294,-1.7567422392672336
otr10,AI issuance,2,-0.01623636210356334,-1.68378666978039
otr10,buybacks raw,0,-0.02016162912468396,-0.6280746452991499
otr10,buybacks raw,1,-0.010556058546959863,-0.32320395570469773
otr10,buybacks raw,2,0.020613230367782225,0.6292820047812475
otr10,buybacks surprise,0,0.0018668849832203238,0.016194334796795613
otr10,buybacks surprise,1,0.10457375282744363,0.6375715823410386
otr10,buybacks surprise,2,0.19079204160843494,1.7569950026880758
otr20,AI issuance,0,-0.0004998704885201925,-0.10468786477630629
otr20,AI issuance,1,-0.0021080613464077567,-0.4251268060086294
otr20,AI issuance,2,-0.007863378450211208,-1.2480352877827008
otr20,buybacks raw,0,-0.027961900560497077,-0.7898651947275347
otr20,buybacks raw,1,-0.06214483999165375,-1.9115392335007466
otr20,buybacks raw,2,-0.05358495834590986,-1.5366008858867157
otr20,buybacks surprise,0,-0.050235533306110844,-0.5529272942706351
otr20,buybacks surprise,1,-0.05844866832187068,-0.604092498352007
otr20,buybacks surprise,2,-0.0918605223592816,-0.7251972299435958
otr30,AI issuance,0,0.008029309709823792,0.983214799413179
otr30,AI issuance,1,0.0030680753511414657,0.46031148795595034
otr30,AI issuance,2,0.0013470396536149117,0.149288178225038
otr30,buybacks raw,0,0.027507017040375895,0.5891348787944528
otr30,buybacks raw,1,0.03088674507232598,0.7014194602474163
otr30,buybacks raw,2,0.05266814737678973,1.0596010274424232
otr30,buybacks surprise,0,-0.08187194463631745,-0.8906041296207259
otr30,buybacks surprise,1,0.10067200307754245,1.044679807692452
otr30,buybacks surprise,2,0.073165200440426,0.6792100362784131
