announce,issuer,size10,scale,spread_bp,gross_bp,net_bp,entry,exit
2024-08-07,Meta,15.30109100765233,0.7362708338537911,-10.07744000000004,-59.357801215292625,-63.77542621841537,2024-08-07,2024-08-14
2024-09-25,Oracle,8.343605689273563,0.4014846728979253,-5.181039999999989,-16.6408651973685,-19.04977323475605,2024-09-25,2024-10-02
2025-01-30,Oracle,8.008006631500765,0.38533603369413577,-9.667440000000017,-29.80170388460834,-32.11372008677316,2025-01-30,2025-02-06
2025-04-28,Alphabet,7.603620973544545,0.36587746270511046,2.62912000000005,7.695486037978227,5.500221261747564,2025-04-28,2025-05-05
2025-09-24,Oracle,21.24371431408341,1.0222230064744744,1.10095999999997,9.003413129664853,2.8700750908180073,2025-09-24,2025-10-01
2025-10-30,Meta,38.90741872844377,1.8721800697717152,2.665280000000029,39.91907277088969,28.6859923522594,2025-10-30,2025-11-06
2025-11-03,Alphabet,22.254780042467914,1.0708743220274866,1.4394399999999945,12.331674672793914,5.906428740628995,2025-11-03,2025-11-10
2025-11-17,Amazon,16.54661555528385,0.7962040371012847,-0.8033599999999783,-5.117107801965367,-9.894332024573075,2025-11-17,2025-11-24
2026-02-02,Oracle,25.737990036096846,1.238482365481018,-2.3059199999999853,-22.846730049679767,-30.277624242565874,2026-02-02,2026-02-09
2026-02-09,Alphabet,21.881510860722457,1.0529130399490907,-12.806000000000036,-107.86883511670474,-114.1863133563993,2026-02-09,2026-02-17
2026-03-10,Amazon,38.41699275808221,1.8485813382851122,1.5781600000000209,23.33885699862457,12.247368968913898,2026-03-10,2026-03-17
2026-04-30,Meta,31.857326314884396,1.5329377623126161,-1.415679999999994,-17.36119465080572,-26.558821224681417,2026-04-30,2026-05-07
2026-05-05,Alphabet,9.959230117279885,0.47922665510088464,1.5319999999999818,5.8734018849163725,2.9980419543110646,2026-05-05,2026-05-12
2026-06-08,Amazon,16.09968563528484,0.7746982853410141,-4.861280000000107,-30.128202244501185,-34.77639195654727,2026-06-08,2026-06-15
2026-07-07,Amazon,25.07201977769628,1.2064366455235858,4.244480000000025,40.965569705535835,33.72694983239432,2026-07-07,2026-07-14
2026-08-06,Alphabet,25.27644745793875,1.2162734694807564,1.5720800000000068,15.296633567210527,7.998992750325989,2026-08-06,2026-08-13
