issuer,announce,final_filing,tenor,coupon,floating,notional,mod_dur,dollar_dur,tenyr_equiv
Meta,2024-08-07,2024-08-08,5,4.3,False,1000000000.0,4.45624746338138,4456247463.38138,558297137.9216979
Meta,2024-08-07,2024-08-08,7,4.55,False,1000000000.0,5.9376007459921265,5937600745.992126,743887212.2451155
Meta,2024-08-07,2024-08-08,10,4.75,False,2500000000.0,7.887412362883798,19718530907.209496,2470419217.0607543
Meta,2024-08-07,2024-08-08,30,5.4,False,3250000000.0,14.774141040578185,48015958381.8791,6015638125.9018545
Meta,2024-08-07,2024-08-08,40,5.55,False,2750000000.0,16.00100741746593,44002770398.03131,5512849314.522908
Oracle,2024-09-25,2024-09-26,5,4.2,False,1500000000.0,4.467884117092367,6701826175.63855,839632539.1383457
Oracle,2024-09-25,2024-09-26,10,4.7,False,1750000000.0,7.906171056276539,13835799348.483942,1733406243.8391094
Oracle,2024-09-25,2024-09-26,30,5.375,False,1750000000.0,14.815284023587937,25926747041.27889,3248210245.887561
Oracle,2024-09-25,2024-09-26,40,5.5,False,1250000000.0,16.106470488502033,20133088110.62754,2522356660.4085474
Oracle,2025-01-30,2025-01-31,3,4.8,False,1500000000.0,2.7632971252415928,4144945687.862389,519295962.2171696
Oracle,2025-01-30,2025-01-31,7,5.25,False,1250000000.0,5.7951647617510815,7243955952.188852,907552802.794552
Oracle,2025-01-30,2025-01-31,10,5.5,False,1750000000.0,7.6136260668877975,13323845617.053646,1669266560.0907147
Oracle,2025-01-30,2025-01-31,30,6.0,False,1750000000.0,13.8377818330597,24216118207.854477,3033895581.0052605
Oracle,2025-01-30,2025-01-31,40,6.125,False,1000000000.0,14.864891796109607,14864891796.109608,1862335207.7010682
Oracle,2025-01-30,2025-01-31,3,,True,500000000.0,0.25,125000000.0,15660517.691999553
Alphabet,2025-04-28,2025-04-30,5,4.0,False,750000000.0,4.491292503121118,3368469377.3408384,422015794.23043936
Alphabet,2025-04-28,2025-04-30,10,4.5,False,1250000000.0,7.98185618498796,9977320231.23495,1250000000.0
Alphabet,2025-04-28,2025-04-30,30,5.25,False,1500000000.0,15.023688382485016,22535532573.727524,2823344852.555937
Alphabet,2025-04-28,2025-04-30,40,5.3,False,1500000000.0,16.539791275791593,24809686913.68739,3108260326.758169
Oracle,2025-09-24,2025-09-25,5,4.45,False,3000000000.0,4.438876310214827,13316628930.64448,1668362423.7292078
Oracle,2025-09-24,2025-09-25,7,4.8,False,3000000000.0,5.886149713868618,17658449141.605854,2212323641.5631423
Oracle,2025-09-24,2025-09-25,10,5.2,False,4000000000.0,7.72145517530518,30885820701.22072,3869503532.1871448
Oracle,2025-09-24,2025-09-25,20,5.875,False,2500000000.0,11.675048689568063,29187621723.92016,3656746131.158737
Oracle,2025-09-24,2025-09-25,30,5.95,False,3500000000.0,13.912213073963558,48692745758.87245,6100428851.430866
Oracle,2025-09-24,2025-09-25,40,6.1,False,2000000000.0,14.911503116860114,29823006233.72023,3736349734.014309
Meta,2025-10-30,2025-11-03,5,4.2,False,4000000000.0,4.467884117092367,17871536468.369465,2239020104.3689218
Meta,2025-10-30,2025-11-03,7,4.6,False,4000000000.0,5.927258203357697,23709032813.43079,2970365822.6794467
Meta,2025-10-30,2025-11-03,10,4.875,False,6500000000.0,7.840797245143488,50965182093.43267,6385129086.801449
Meta,2025-10-30,2025-11-03,20,5.5,False,4500000000.0,12.039050530023955,54175727385.107796,6787359497.531403
Meta,2025-10-30,2025-11-03,30,5.625,False,6500000000.0,14.41171434883824,93676143267.44856,11736135191.665304
Meta,2025-10-30,2025-11-03,40,5.75,False,4500000000.0,15.590177509279115,70155798791.75603,8789409025.39725
Alphabet,2025-11-03,2025-11-05,3,3.875,False,1000000000.0,2.806632371612898,2806632371.612898,351626527.2846596
Alphabet,2025-11-03,2025-11-05,5,4.1,False,2500000000.0,4.479565725944397,11198914314.860992,1403046366.072541
Alphabet,2025-11-03,2025-11-05,7,4.375,False,1250000000.0,5.974007518509612,7467509398.137015,935560504.3575813
Alphabet,2025-11-03,2025-11-05,10,4.7,False,3500000000.0,7.906171056276539,27671598696.967884,3466812487.678219
Alphabet,2025-11-03,2025-11-05,20,5.35,False,2000000000.0,12.189427214729298,24378854429.458595,3054283848.825744
Alphabet,2025-11-03,2025-11-05,30,5.45,False,4000000000.0,14.692385485800568,58769541943.20227,7362891610.817832
Alphabet,2025-11-03,2025-11-05,50,5.7,False,2750000000.0,16.48778275391981,45341402573.27947,5680558697.431338
Amazon,2025-11-17,2025-11-19,3,3.9,False,2500000000.0,2.80544745101959,7013618627.548975,878695188.8133467
Amazon,2025-11-17,2025-11-19,5,4.1,False,2500000000.0,4.479565725944397,11198914314.860992,1403046366.072541
Amazon,2025-11-17,2025-11-19,8,4.35,False,1500000000.0,6.6956804434720745,10043520665.20811,1258293864.5396378
Amazon,2025-11-17,2025-11-19,10,4.65,False,3500000000.0,7.9249945173167875,27737480810.608757,3475066471.7282925
Amazon,2025-11-17,2025-11-19,30,5.45,False,3000000000.0,14.692385485800568,44077156457.4017,5522168708.113374
Amazon,2025-11-17,2025-11-19,40,5.55,False,2000000000.0,16.00100741746593,32002014834.93186,4009344956.0166607
Oracle,2026-02-02,2026-02-03,3,4.55,False,3000000000.0,2.774907350497967,8324722051.4939,1042955655.7471923
Oracle,2026-02-02,2026-02-03,5,4.95,False,3500000000.0,4.381690461613725,15335916615.648037,1921347147.859088
Oracle,2026-02-02,2026-02-03,7,5.35,False,3000000000.0,5.7752253466747465,17325676040.02424,2170632449.205219
Oracle,2026-02-02,2026-02-03,10,5.7,False,5000000000.0,7.542956448976289,37714782244.88145,4725064116.767013
Oracle,2026-02-02,2026-02-03,20,6.55,False,2250000000.0,11.060388273301445,24885873614.928253,3117805312.21959
Oracle,2026-02-02,2026-02-03,30,6.7,False,5000000000.0,12.858583191809178,64292915959.04589,8054882782.775028
